  NEILSON POWLESS  ,77,EF PRO CYCLING  ,'05h 17'' 42'''''
  NICOLAS ROCHE  ,208,TEAM SUNWEB  ,'05h 17'' 42'''''
  DOMENICO POZZOVIVO  ,197,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  RIGOBERTO URAN  ,71,EF PRO CYCLING  ,'05h 17'' 42'''''
  TOMS SKUJINS  ,106,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  HUGH JOHN CARTHY  ,73,EF PRO CYCLING  ,'05h 17'' 42'''''
  RICHIE PORTE  ,101,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  PIERRE ROLLAND  ,218,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  JESUS HERRADA  ,124,COFIDIS  ,'05h 17'' 42'''''
  MAXIMILIAN WALSCHEID  ,198,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  KÉVIN REZA  ,217,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  ION IZAGUIRRE INSAUSTI  ,145,ASTANA PRO TEAM  ,'05h 17'' 42'''''
  ROBERT GESINK  ,15,TEAM JUMBO - VISMA  ,'05h 17'' 42'''''
  ILNUR ZAKARIN  ,118,CCC TEAM  ,'05h 17'' 42'''''
  DAVID GAUDU  ,53,GROUPAMA - FDJ  ,'05h 17'' 42'''''
  LENNARD KÄMNA  ,24,BORA - HANSGROHE  ,'05h 17'' 42'''''
  MIKEL NIEVE  ,168,MITCHELTON - SCOTT  ,'05h 17'' 42'''''
  NICOLAS EDET  ,123,COFIDIS  ,'05h 17'' 42'''''
  TEJAY VAN GARDEREN  ,78,EF PRO CYCLING  ,'05h 17'' 42'''''
  NILS POLITT  ,177,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  PELLO BILBAO  ,62,BAHRAIN - MCLAREN  ,'05h 17'' 42'''''
  BOB JUNGELS  ,47,DECEUNINCK - QUICK - STEP  ,'05h 17'' 42'''''
  STEFF CRAS  ,152,LOTTO SOUDAL  ,'05h 17'' 42'''''
  SONNY COLBRELLI  ,64,BAHRAIN - MCLAREN  ,'05h 17'' 42'''''
  KASPER ASGREEN  ,42,DECEUNINCK - QUICK - STEP  ,'05h 17'' 42'''''
  DARIO CATALDO  ,92,MOVISTAR TEAM  ,'05h 17'' 42'''''
  KENNY ELISSONDE  ,103,TREK - SEGAFREDO  ,'05h 17'' 42'''''
  RUDY MOLARD  ,57,GROUPAMA - FDJ  ,'05h 17'' 42'''''
  MAXIME CHEVALIER  ,213,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
  MAXIMILIAN SCHACHMANN  ,28,BORA - HANSGROHE  ,'05h 17'' 42'''''
  LILIAN CALMEJANE  ,183,TOTAL DIRECT ENERGIE  ,'05h 17'' 42'''''
  ALEXIS VUILLERMOZ  ,38,AG2R LA MONDIALE  ,'05h 17'' 42'''''
  BEN HERMANS  ,173,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  CASPER PHILLIP PEDERSEN  ,207,TEAM SUNWEB  ,'05h 17'' 42'''''
  THOMAS DE GENDT  ,154,LOTTO SOUDAL  ,'05h 17'' 42'''''
  SIMON GESCHKE  ,113,CCC TEAM  ,'05h 17'' 42'''''
  MARCO MARCATO  ,137,UAE TEAM EMIRATES  ,'05h 17'' 42'''''
  MICHAEL HUNDAHL VALGREN  ,195,NTT PRO CYCLING TEAM  ,'05h 17'' 42'''''
  MATHIEU BURGAUDEAU  ,182,TOTAL DIRECT ENERGIE  ,'05h 17'' 42'''''
  GUY NIV  ,176,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  ANDRÉ GREIPEL  ,172,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  DANIEL MARTIN  ,171,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  KRISTS NEILANDS  ,175,ISRAEL START-UP NATION  ,'05h 17'' 42'''''
  ANDREY AMADOR  ,2,INEOS GRENADIERS  ,'05h 17'' 42'''''
  QUENTIN PACHER  ,216,B&B HOTELS - VITAL CONCEPT P / B KTM  ,'05h 17'' 42'''''
