  CHRISTOPHE LAPORTE  ,125,COFIDIS  ,'05h 03'' 43'''''
  JÉRÔME COUSIN  ,184,TOTAL DIRECT ENERGIE  ,'05h 03'' 43'''''
  WILLIAM BONNET  ,52,GROUPAMA - FDJ  ,'05h 03'' 43'''''
  CLÉMENT VENTURINI  ,37,AG2R LA MONDIALE  ,'05h 03'' 43'''''
  BENOIT COSNEFROY  ,33,AG2R LA MONDIALE  ,'05h 03'' 43'''''
  GUY NIV  ,176,ISRAEL START-UP NATION  ,'05h 03'' 43'''''
  NICCOLÒ BONIFAZIO  ,181,TOTAL DIRECT ENERGIE  ,'05h 03'' 43'''''
  SAM BENNETT  ,43,DECEUNINCK - QUICK - STEP  ,'05h 03'' 43'''''
  SIMONE CONSONNI  ,122,COFIDIS  ,'05h 03'' 43'''''
  ROGER KLUGE  ,158,LOTTO SOUDAL  ,'05h 03'' 43'''''
  CEES BOL  ,203,TEAM SUNWEB  ,'05h 03'' 43'''''
